Comentario,Label
La atención médica fue adecuada y profesional.,1
La atención médica fue adecuada y profesional.,1
Buena experiencia durante la consulta médica.,1
El médico explicó todo con claridad y amabilidad.,1
La consulta no cumplió con mis expectativas.,0
Buena experiencia durante la consulta médica.,1
La consulta no cumplió con mis expectativas.,0
No recibí la orientación que necesitaba durante la cita.,0
El profesional mostró buena disposición y conocimientos sólidos.,1
El médico explicó todo con claridad y amabilidad.,1
No recibí la orientación que necesitaba durante la cita.,0
El tiempo de espera fue mayor al indicado.,0
Buena experiencia durante la consulta médica.,1
El servicio de consulta fue eficiente y cumplió con lo esperado.,1
Buena experiencia durante la consulta médica.,1
La comunicación con el médico fue deficiente.,0
El tiempo de espera fue mayor al indicado.,0
El profesional mostró buena disposición y conocimientos sólidos.,1
El tiempo de espera fue mayor al indicado.,0
El profesional mostró buena disposición y conocimientos sólidos.,1
No recibí la orientación que necesitaba durante la cita.,0
El tiempo de espera fue mayor al indicado.,0
El tiempo de espera fue mayor al indicado.,0
El servicio de consulta fue eficiente y cumplió con lo esperado.,1
La atención médica fue adecuada y profesional.,1
La atención médica fue adecuada y profesional.,1
La consulta no cumplió con mis expectativas.,0
La atención médica fue poco clara o apresurada.,0
No recibí la orientación que necesitaba durante la cita.,0
La atención médica fue adecuada y profesional.,1
El tiempo de espera fue mayor al indicado.,0
El tiempo de espera fue mayor al indicado.,0
El servicio de consulta fue eficiente y cumplió con lo esperado.,1
La atención médica fue adecuada y profesional.,1
El médico explicó todo con claridad y amabilidad.,1
La consulta no cumplió con mis expectativas.,0
Buena experiencia durante la consulta médica.,1
El profesional mostró buena disposición y conocimientos sólidos.,1
El tiempo de espera fue mayor al indicado.,0
La consulta no cumplió con mis expectativas.,0
El servicio de consulta fue eficiente y cumplió con lo esperado.,1
La comunicación con el médico fue deficiente.,0
Buena experiencia durante la consulta médica.,1
No recibí la orientación que necesitaba durante la cita.,0
La atención médica fue adecuada y profesional.,1
El médico explicó todo con claridad y amabilidad.,1
El profesional mostró buena disposición y conocimientos sólidos.,1
El servicio de consulta fue eficiente y cumplió con lo esperado.,1
Buena experiencia durante la consulta médica.,1
El servicio de consulta fue eficiente y cumplió con lo esperado.,1
La atención médica fue poco clara o apresurada.,0
